image_id_for_processing,image_path,skip_reason,image_id,filename,coordinateX,coordinateY,Tumor,Scanner,Origin,Species,expert1,expert2,expert3,majority,source_csv_image_id
4222.png,,csv_image_not_present_in_images_dir,4222.png,305.tiff,-2.0,2416.0,canine cutaneous mast cell tumor,Aperio CS2,FU Berlin,Canine,NMF,AMF,NMF,NMF,4222.png
4249.png,,csv_image_not_present_in_images_dir,4249.png,305.tiff,5033.0,56.0,canine cutaneous mast cell tumor,Aperio CS2,FU Berlin,Canine,NMF,NMF,,NMF,4249.png
4253.png,,csv_image_not_present_in_images_dir,4253.png,308.tiff,45.0,329.0,canine cutaneous mast cell tumor,Aperio CS2,FU Berlin,Canine,NMF,NMF,,NMF,4253.png
4259.png,,csv_image_not_present_in_images_dir,4259.png,309.tiff,1310.0,61.0,canine cutaneous mast cell tumor,Aperio CS2,FU Berlin,Canine,NMF,NMF,,NMF,4259.png
4275.png,,csv_image_not_present_in_images_dir,4275.png,309.tiff,54.0,1963.0,canine cutaneous mast cell tumor,Aperio CS2,FU Berlin,Canine,NMF,NMF,,NMF,4275.png
4305.png,,csv_image_not_present_in_images_dir,4305.png,309.tiff,1041.0,4816.0,canine cutaneous mast cell tumor,Aperio CS2,FU Berlin,Canine,NMF,NMF,,NMF,4305.png
4349.png,,csv_image_not_present_in_images_dir,4349.png,309.tiff,2232.0,24.0,canine cutaneous mast cell tumor,Aperio CS2,FU Berlin,Canine,NMF,NMF,,NMF,4349.png
4405.png,,csv_image_not_present_in_images_dir,4405.png,309.tiff,3786.0,4786.0,canine cutaneous mast cell tumor,Aperio CS2,FU Berlin,Canine,NMF,NMF,,NMF,4405.png
4463.png,,csv_image_not_present_in_images_dir,4463.png,310.tiff,167.0,4783.0,canine cutaneous mast cell tumor,Aperio CS2,FU Berlin,Canine,NMF,NMF,,NMF,4463.png
4482.png,,csv_image_not_present_in_images_dir,4482.png,311.tiff,4196.0,4787.0,canine cutaneous mast cell tumor,Aperio CS2,FU Berlin,Canine,NMF,NMF,,NMF,4482.png
4486.png,,csv_image_not_present_in_images_dir,4486.png,312.tiff,24.0,272.0,canine cutaneous mast cell tumor,Aperio CS2,FU Berlin,Canine,NMF,NMF,,NMF,4486.png
4500.png,,csv_image_not_present_in_images_dir,4500.png,312.tiff,5094.0,60.0,canine cutaneous mast cell tumor,Aperio CS2,FU Berlin,Canine,NMF,NMF,,NMF,4500.png
4501.png,,csv_image_not_present_in_images_dir,4501.png,312.tiff,5241.0,22.0,canine cutaneous mast cell tumor,Aperio CS2,FU Berlin,Canine,NMF,NMF,,NMF,4501.png
4613.png,,csv_image_not_present_in_images_dir,4613.png,318.tiff,6414.0,4514.0,canine cutaneous mast cell tumor,Aperio CS2,FU Berlin,Canine,AMF,AMF,,AMF,4613.png
4622.png,,csv_image_not_present_in_images_dir,4622.png,321.tiff,42.0,756.0,canine cutaneous mast cell tumor,Aperio CS2,FU Berlin,Canine,NMF,AMF,AMF,AMF,4622.png
4628.png,,csv_image_not_present_in_images_dir,4628.png,321.tiff,1114.0,4787.0,canine cutaneous mast cell tumor,Aperio CS2,FU Berlin,Canine,NMF,NMF,,NMF,4628.png
4635.png,,csv_image_not_present_in_images_dir,4635.png,321.tiff,3523.0,25.0,canine cutaneous mast cell tumor,Aperio CS2,FU Berlin,Canine,NMF,NMF,,NMF,4635.png
4646.png,,csv_image_not_present_in_images_dir,4646.png,321.tiff,6391.0,4212.0,canine cutaneous mast cell tumor,Aperio CS2,FU Berlin,Canine,NMF,NMF,,NMF,4646.png
4696.png,,csv_image_not_present_in_images_dir,4696.png,325.tiff,55.0,1978.0,canine cutaneous mast cell tumor,Aperio CS2,FU Berlin,Canine,NMF,NMF,,NMF,4696.png
4697.png,,csv_image_not_present_in_images_dir,4697.png,325.tiff,19.0,2047.0,canine cutaneous mast cell tumor,Aperio CS2,FU Berlin,Canine,NMF,AMF,AMF,AMF,4697.png
4726.png,,csv_image_not_present_in_images_dir,4726.png,325.tiff,53.0,4674.0,canine cutaneous mast cell tumor,Aperio CS2,FU Berlin,Canine,NMF,NMF,,NMF,4726.png
4780.png,,csv_image_not_present_in_images_dir,4780.png,325.tiff,3604.0,48.0,canine cutaneous mast cell tumor,Aperio CS2,FU Berlin,Canine,AMF,AMF,,AMF,4780.png
4822.png,,csv_image_not_present_in_images_dir,4822.png,325.tiff,4032.0,4816.0,canine cutaneous mast cell tumor,Aperio CS2,FU Berlin,Canine,NMF,NMF,,NMF,4822.png
4873.png,,csv_image_not_present_in_images_dir,4873.png,325.tiff,5489.0,28.0,canine cutaneous mast cell tumor,Aperio CS2,FU Berlin,Canine,NMF,NMF,,NMF,4873.png
4874.png,,csv_image_not_present_in_images_dir,4874.png,325.tiff,4818.0,29.0,canine cutaneous mast cell tumor,Aperio CS2,FU Berlin,Canine,NMF,NMF,,NMF,4874.png
4875.png,,csv_image_not_present_in_images_dir,4875.png,325.tiff,6433.0,1953.0,canine cutaneous mast cell tumor,Aperio CS2,FU Berlin,Canine,NMF,NMF,,NMF,4875.png
4890.png,,csv_image_not_present_in_images_dir,4890.png,325.tiff,5036.0,34.0,canine cutaneous mast cell tumor,Aperio CS2,FU Berlin,Canine,NMF,NMF,,NMF,4890.png
4955.png,,csv_image_not_present_in_images_dir,4955.png,337.tiff,57.0,3398.0,canine cutaneous mast cell tumor,Aperio CS2,FU Berlin,Canine,NMF,NMF,,NMF,4955.png
4989.png,,csv_image_not_present_in_images_dir,4989.png,339.tiff,1659.0,41.0,canine cutaneous mast cell tumor,Aperio CS2,FU Berlin,Canine,AMF,AMF,,AMF,4989.png
5003.png,,csv_image_not_present_in_images_dir,5003.png,339.tiff,2210.0,4801.0,canine cutaneous mast cell tumor,Aperio CS2,FU Berlin,Canine,NMF,AMF,NMF,NMF,5003.png
5010.png,,csv_image_not_present_in_images_dir,5010.png,340.tiff,45.0,1606.0,canine cutaneous mast cell tumor,Aperio CS2,FU Berlin,Canine,NMF,NMF,,NMF,5010.png
5061.png,,csv_image_not_present_in_images_dir,5061.png,340.tiff,6357.0,42.0,canine cutaneous mast cell tumor,Aperio CS2,FU Berlin,Canine,NMF,NMF,,NMF,5061.png
5064.png,,csv_image_not_present_in_images_dir,5064.png,340.tiff,6400.0,4180.0,canine cutaneous mast cell tumor,Aperio CS2,FU Berlin,Canine,NMF,NMF,,NMF,5064.png
5159.png,,csv_image_not_present_in_images_dir,5159.png,344.tiff,59.0,701.0,canine cutaneous mast cell tumor,Aperio CS2,FU Berlin,Canine,NMF,NMF,,NMF,5159.png
5170.png,,csv_image_not_present_in_images_dir,5170.png,345.tiff,942.0,8.0,canine cutaneous mast cell tumor,Aperio CS2,FU Berlin,Canine,NMF,NMF,,NMF,5170.png
5197.png,,csv_image_not_present_in_images_dir,5197.png,345.tiff,38.0,3308.0,canine cutaneous mast cell tumor,Aperio CS2,FU Berlin,Canine,NMF,NMF,,NMF,5197.png
5209.png,,csv_image_not_present_in_images_dir,5209.png,345.tiff,1824.0,4831.0,canine cutaneous mast cell tumor,Aperio CS2,FU Berlin,Canine,NMF,NMF,,NMF,5209.png
5210.png,,csv_image_not_present_in_images_dir,5210.png,345.tiff,3111.0,4772.0,canine cutaneous mast cell tumor,Aperio CS2,FU Berlin,Canine,NMF,NMF,,NMF,5210.png
5251.png,,csv_image_not_present_in_images_dir,5251.png,345.tiff,3992.0,24.0,canine cutaneous mast cell tumor,Aperio CS2,FU Berlin,Canine,NMF,NMF,,NMF,5251.png
5286.png,,csv_image_not_present_in_images_dir,5286.png,345.tiff,6047.0,4781.0,canine cutaneous mast cell tumor,Aperio CS2,FU Berlin,Canine,NMF,NMF,,NMF,5286.png
5320.png,,csv_image_not_present_in_images_dir,5320.png,345.tiff,5888.0,21.0,canine cutaneous mast cell tumor,Aperio CS2,FU Berlin,Canine,NMF,NMF,,NMF,5320.png
5324.png,,csv_image_not_present_in_images_dir,5324.png,345.tiff,6350.0,54.0,canine cutaneous mast cell tumor,Aperio CS2,FU Berlin,Canine,NMF,NMF,,NMF,5324.png
5326.png,,csv_image_not_present_in_images_dir,5326.png,345.tiff,6384.0,2650.0,canine cutaneous mast cell tumor,Aperio CS2,FU Berlin,Canine,NMF,NMF,,NMF,5326.png
5329.png,,csv_image_not_present_in_images_dir,5329.png,345.tiff,6388.0,4497.0,canine cutaneous mast cell tumor,Aperio CS2,FU Berlin,Canine,NMF,NMF,,NMF,5329.png
5368.png,,csv_image_not_present_in_images_dir,5368.png,346.tiff,52.0,1670.0,canine cutaneous mast cell tumor,Aperio CS2,FU Berlin,Canine,NMF,NMF,,NMF,5368.png
5386.png,,csv_image_not_present_in_images_dir,5386.png,346.tiff,30.0,2812.0,canine cutaneous mast cell tumor,Aperio CS2,FU Berlin,Canine,NMF,NMF,,NMF,5386.png
5388.png,,csv_image_not_present_in_images_dir,5388.png,346.tiff,49.0,3654.0,canine cutaneous mast cell tumor,Aperio CS2,FU Berlin,Canine,NMF,NMF,,NMF,5388.png
5396.png,,csv_image_not_present_in_images_dir,5396.png,346.tiff,38.0,3910.0,canine cutaneous mast cell tumor,Aperio CS2,FU Berlin,Canine,NMF,NMF,,NMF,5396.png
5401.png,,csv_image_not_present_in_images_dir,5401.png,346.tiff,240.0,4796.0,canine cutaneous mast cell tumor,Aperio CS2,FU Berlin,Canine,NMF,NMF,,NMF,5401.png
5407.png,,csv_image_not_present_in_images_dir,5407.png,346.tiff,2768.0,4792.0,canine cutaneous mast cell tumor,Aperio CS2,FU Berlin,Canine,NMF,AMF,AMF,AMF,5407.png
5476.png,,csv_image_not_present_in_images_dir,5476.png,346.tiff,4651.0,4818.0,canine cutaneous mast cell tumor,Aperio CS2,FU Berlin,Canine,NMF,NMF,,NMF,5476.png
5477.png,,csv_image_not_present_in_images_dir,5477.png,346.tiff,6020.0,4817.0,canine cutaneous mast cell tumor,Aperio CS2,FU Berlin,Canine,NMF,NMF,,NMF,5477.png
5478.png,,csv_image_not_present_in_images_dir,5478.png,346.tiff,6236.0,4786.0,canine cutaneous mast cell tumor,Aperio CS2,FU Berlin,Canine,NMF,NMF,,NMF,5478.png
5510.png,,csv_image_not_present_in_images_dir,5510.png,346.tiff,5906.0,38.0,canine cutaneous mast cell tumor,Aperio CS2,FU Berlin,Canine,NMF,NMF,,NMF,5510.png
5515.png,,csv_image_not_present_in_images_dir,5515.png,346.tiff,6413.0,1925.0,canine cutaneous mast cell tumor,Aperio CS2,FU Berlin,Canine,NMF,NMF,,NMF,5515.png
5597.png,,csv_image_not_present_in_images_dir,5597.png,353.tiff,1141.0,57.0,human neuroendocrine tumor,Hamamatsu XR,UMC Utrecht,Human,NMF,NMF,,NMF,5597.png
5599.png,,csv_image_not_present_in_images_dir,5599.png,353.tiff,3170.0,30.0,human neuroendocrine tumor,Hamamatsu XR,UMC Utrecht,Human,AMF,AMF,,AMF,5599.png
5651.png,,csv_image_not_present_in_images_dir,5651.png,353.tiff,2566.0,5401.0,human neuroendocrine tumor,Hamamatsu XR,UMC Utrecht,Human,NMF,NMF,,NMF,5651.png
5653.png,,csv_image_not_present_in_images_dir,5653.png,353.tiff,5053.0,5404.0,human neuroendocrine tumor,Hamamatsu XR,UMC Utrecht,Human,NMF,NMF,,NMF,5653.png
5691.png,,csv_image_not_present_in_images_dir,5691.png,364.tiff,39.0,1837.0,human neuroendocrine tumor,Hamamatsu XR,UMC Utrecht,Human,AMF,AMF,,AMF,5691.png
5772.png,,csv_image_not_present_in_images_dir,5772.png,389.tiff,638.0,52.0,human neuroendocrine tumor,Hamamatsu XR,UMC Utrecht,Human,NMF,NMF,,NMF,5772.png
5775.png,,csv_image_not_present_in_images_dir,5775.png,389.tiff,49.0,139.0,human neuroendocrine tumor,Hamamatsu XR,UMC Utrecht,Human,NMF,NMF,,NMF,5775.png
5776.png,,csv_image_not_present_in_images_dir,5776.png,389.tiff,72.0,18.0,human neuroendocrine tumor,Hamamatsu XR,UMC Utrecht,Human,NMF,NMF,,NMF,5776.png
5791.png,,csv_image_not_present_in_images_dir,5791.png,390.tiff,6867.0,5399.0,human neuroendocrine tumor,Hamamatsu XR,UMC Utrecht,Human,NMF,NMF,,NMF,5791.png
5803.png,,csv_image_not_present_in_images_dir,5803.png,392.tiff,22.0,1187.0,human neuroendocrine tumor,Hamamatsu XR,UMC Utrecht,Human,NMF,NMF,,NMF,5803.png
5841.png,,csv_image_not_present_in_images_dir,5841.png,400.tiff,3987.0,26.0,human neuroendocrine tumor,Hamamatsu XR,UMC Utrecht,Human,NMF,NMF,,NMF,5841.png
5914.png,,csv_image_not_present_in_images_dir,5914.png,400.tiff,2147.0,5389.0,human neuroendocrine tumor,Hamamatsu XR,UMC Utrecht,Human,NMF,NMF,,NMF,5914.png
5921.png,,csv_image_not_present_in_images_dir,5921.png,400.tiff,4679.0,5360.0,human neuroendocrine tumor,Hamamatsu XR,UMC Utrecht,Human,NMF,NMF,,NMF,5921.png
5927.png,,csv_image_not_present_in_images_dir,5927.png,400.tiff,7195.0,5389.0,human neuroendocrine tumor,Hamamatsu XR,UMC Utrecht,Human,NMF,NMF,,NMF,5927.png
5929.png,,csv_image_not_present_in_images_dir,5929.png,400.tiff,1922.0,5386.0,human neuroendocrine tumor,Hamamatsu XR,UMC Utrecht,Human,NMF,NMF,,NMF,5929.png
6027.png,,csv_image_not_present_in_images_dir,6027.png,402.tiff,37.0,4114.0,human neuroendocrine tumor,Hamamatsu XR,UMC Utrecht,Human,NMF,NMF,,NMF,6027.png
6050.png,,csv_image_not_present_in_images_dir,6050.png,402.tiff,6481.0,5372.0,human neuroendocrine tumor,Hamamatsu XR,UMC Utrecht,Human,NMF,NMF,,NMF,6050.png
6053.png,,csv_image_not_present_in_images_dir,6053.png,402.tiff,3918.0,17.0,human neuroendocrine tumor,Hamamatsu XR,UMC Utrecht,Human,NMF,NMF,,NMF,6053.png
6064.png,,csv_image_not_present_in_images_dir,6064.png,404.tiff,4524.0,19.0,human neuroendocrine tumor,Hamamatsu XR,UMC Utrecht,Human,NMF,AMF,NMF,NMF,6064.png
6079.png,,csv_image_not_present_in_images_dir,6079.png,404.tiff,7200.0,1253.0,human neuroendocrine tumor,Hamamatsu XR,UMC Utrecht,Human,AMF,AMF,,AMF,6079.png
6093.png,,csv_image_not_present_in_images_dir,6093.png,404.tiff,7168.0,2374.0,human neuroendocrine tumor,Hamamatsu XR,UMC Utrecht,Human,NMF,NMF,,NMF,6093.png
6120.png,,csv_image_not_present_in_images_dir,6120.png,406.tiff,6568.0,1744.0,canine soft tissue sarcoma,3D Histech,AMC New York,Canine,NMF,NMF,,NMF,6120.png
6130.png,,csv_image_not_present_in_images_dir,6130.png,407.tiff,33.0,4416.0,canine soft tissue sarcoma,3D Histech,AMC New York,Canine,NMF,NMF,,NMF,6130.png
6194.png,,csv_image_not_present_in_images_dir,6194.png,420.tiff,6556.0,3205.0,canine soft tissue sarcoma,3D Histech,AMC New York,Canine,NMF,NMF,,NMF,6194.png
6199.png,,csv_image_not_present_in_images_dir,6199.png,421.tiff,878.0,39.0,canine soft tissue sarcoma,3D Histech,AMC New York,Canine,AMF,AMF,,AMF,6199.png
6210.png,,csv_image_not_present_in_images_dir,6210.png,421.tiff,5524.0,48.0,canine soft tissue sarcoma,3D Histech,AMC New York,Canine,NMF,NMF,,NMF,6210.png
6212.png,,csv_image_not_present_in_images_dir,6212.png,421.tiff,5920.0,30.0,canine soft tissue sarcoma,3D Histech,AMC New York,Canine,NMF,AMF,NMF,NMF,6212.png
6249.png,,csv_image_not_present_in_images_dir,6249.png,421.tiff,3627.0,4917.0,canine soft tissue sarcoma,3D Histech,AMC New York,Canine,NMF,NMF,,NMF,6249.png
6283.png,,csv_image_not_present_in_images_dir,6283.png,425.tiff,2205.0,52.0,canine soft tissue sarcoma,3D Histech,AMC New York,Canine,AMF,NMF,NMF,NMF,6283.png
6457.png,,csv_image_not_present_in_images_dir,6457.png,439.tiff,43.0,1385.0,canine soft tissue sarcoma,3D Histech,AMC New York,Canine,NMF,AMF,NMF,NMF,6457.png
6458.png,,csv_image_not_present_in_images_dir,6458.png,439.tiff,4621.0,17.0,canine soft tissue sarcoma,3D Histech,AMC New York,Canine,NMF,NMF,,NMF,6458.png
6462.png,,csv_image_not_present_in_images_dir,6462.png,440.tiff,5734.0,45.0,canine soft tissue sarcoma,3D Histech,AMC New York,Canine,NMF,NMF,,NMF,6462.png
6500.png,,csv_image_not_present_in_images_dir,6500.png,440.tiff,1879.0,4915.0,canine soft tissue sarcoma,3D Histech,AMC New York,Canine,NMF,NMF,,NMF,6500.png
6602.png,,csv_image_not_present_in_images_dir,6602.png,449.tiff,1704.0,24.0,canine soft tissue sarcoma,3D Histech,AMC New York,Canine,NMF,NMF,,NMF,6602.png
6681.png,,csv_image_not_present_in_images_dir,6681.png,458.tiff,2214.0,51.0,canine soft tissue sarcoma,3D Histech,AMC New York,Canine,NMF,NMF,,NMF,6681.png
6767.png,,csv_image_not_present_in_images_dir,6767.png,459.tiff,52.0,1265.0,canine soft tissue sarcoma,3D Histech,AMC New York,Canine,NMF,NMF,,NMF,6767.png
6822.png,,csv_image_not_present_in_images_dir,6822.png,459.tiff,59.0,4455.0,canine soft tissue sarcoma,3D Histech,AMC New York,Canine,NMF,AMF,NMF,NMF,6822.png
6856.png,,csv_image_not_present_in_images_dir,6856.png,459.tiff,1270.0,4893.0,canine soft tissue sarcoma,3D Histech,AMC New York,Canine,NMF,NMF,,NMF,6856.png
6857.png,,csv_image_not_present_in_images_dir,6857.png,459.tiff,2536.0,4904.0,canine soft tissue sarcoma,3D Histech,AMC New York,Canine,NMF,NMF,,NMF,6857.png
6859.png,,csv_image_not_present_in_images_dir,6859.png,459.tiff,3401.0,4882.0,canine soft tissue sarcoma,3D Histech,AMC New York,Canine,NMF,NMF,,NMF,6859.png
6937.png,,csv_image_not_present_in_images_dir,6937.png,466.tiff,6537.0,3848.0,canine soft tissue sarcoma,3D Histech,AMC New York,Canine,NMF,AMF,NMF,NMF,6937.png
6976.png,,csv_image_not_present_in_images_dir,6976.png,470.tiff,5685.0,4879.0,canine soft tissue sarcoma,3D Histech,AMC New York,Canine,NMF,NMF,,NMF,6976.png
6977.png,,csv_image_not_present_in_images_dir,6977.png,470.tiff,1671.0,39.0,canine soft tissue sarcoma,3D Histech,AMC New York,Canine,AMF,AMF,,AMF,6977.png
6992.png,,csv_image_not_present_in_images_dir,6992.png,472.tiff,5995.0,4888.0,canine soft tissue sarcoma,3D Histech,AMC New York,Canine,AMF,AMF,,AMF,6992.png
6993.png,,csv_image_not_present_in_images_dir,6993.png,473.tiff,62.0,483.0,canine soft tissue sarcoma,3D Histech,AMC New York,Canine,NMF,NMF,,NMF,6993.png
7014.png,,csv_image_not_present_in_images_dir,7014.png,473.tiff,395.0,4902.0,canine soft tissue sarcoma,3D Histech,AMC New York,Canine,AMF,AMF,,AMF,7014.png
7109.png,,csv_image_not_present_in_images_dir,7109.png,486.tiff,5680.0,4915.0,canine soft tissue sarcoma,3D Histech,AMC New York,Canine,NMF,NMF,,NMF,7109.png
7154.png,,csv_image_not_present_in_images_dir,7154.png,493.tiff,2584.0,4887.0,canine soft tissue sarcoma,3D Histech,VMU Vienna,Canine,NMF,NMF,,NMF,7154.png
7155.png,,csv_image_not_present_in_images_dir,7155.png,494.tiff,4644.0,55.0,canine soft tissue sarcoma,3D Histech,VMU Vienna,Canine,NMF,NMF,,NMF,7155.png
7157.png,,csv_image_not_present_in_images_dir,7157.png,494.tiff,3124.0,4895.0,canine soft tissue sarcoma,3D Histech,VMU Vienna,Canine,NMF,NMF,,NMF,7157.png
7165.png,,csv_image_not_present_in_images_dir,7165.png,496.tiff,5620.0,4903.0,canine soft tissue sarcoma,3D Histech,VMU Vienna,Canine,NMF,NMF,,NMF,7165.png
7174.png,,csv_image_not_present_in_images_dir,7174.png,499.tiff,25.0,727.0,canine soft tissue sarcoma,3D Histech,VMU Vienna,Canine,NMF,NMF,,NMF,7174.png
7302.png,,csv_image_not_present_in_images_dir,7302.png,504.tiff,6033.0,4891.0,canine soft tissue sarcoma,3D Histech,VMU Vienna,Canine,AMF,AMF,,AMF,7302.png
7457.png,,csv_image_not_present_in_images_dir,7457.png,527.tiff,2050.0,5366.0,human melanoma,Hamamatsu XR,UMC Utrecht,Human,AMF,AMF,,AMF,7457.png
7460.png,,csv_image_not_present_in_images_dir,7460.png,527.tiff,5208.0,5352.0,human melanoma,Hamamatsu XR,UMC Utrecht,Human,NMF,NMF,,NMF,7460.png
7512.png,,csv_image_not_present_in_images_dir,7512.png,528.tiff,533.0,5368.0,human melanoma,Hamamatsu XR,UMC Utrecht,Human,AMF,AMF,,AMF,7512.png
7538.png,,csv_image_not_present_in_images_dir,7538.png,531.tiff,18.0,1843.0,human melanoma,Hamamatsu XR,UMC Utrecht,Human,AMF,AMF,,AMF,7538.png
7544.png,,csv_image_not_present_in_images_dir,7544.png,531.tiff,7164.0,3038.0,human melanoma,Hamamatsu XR,UMC Utrecht,Human,NMF,NMF,,NMF,7544.png
7582.png,,csv_image_not_present_in_images_dir,7582.png,533.tiff,469.0,5353.0,human melanoma,Hamamatsu XR,UMC Utrecht,Human,NMF,NMF,,NMF,7582.png
7706.png,,csv_image_not_present_in_images_dir,7706.png,548.tiff,5133.0,41.0,human melanoma,Hamamatsu XR,UMC Utrecht,Human,AMF,NMF,AMF,AMF,7706.png
7707.png,,csv_image_not_present_in_images_dir,7707.png,548.tiff,5280.0,36.0,human melanoma,Hamamatsu XR,UMC Utrecht,Human,AMF,NMF,AMF,AMF,7707.png
7710.png,,csv_image_not_present_in_images_dir,7710.png,548.tiff,6465.0,63.0,human melanoma,Hamamatsu XR,UMC Utrecht,Human,NMF,NMF,,NMF,7710.png
7711.png,,csv_image_not_present_in_images_dir,7711.png,548.tiff,6149.0,32.0,human melanoma,Hamamatsu XR,UMC Utrecht,Human,NMF,NMF,,NMF,7711.png
7716.png,,csv_image_not_present_in_images_dir,7716.png,548.tiff,7155.0,696.0,human melanoma,Hamamatsu XR,UMC Utrecht,Human,NMF,NMF,,NMF,7716.png
7769.png,,csv_image_not_present_in_images_dir,7769.png,548.tiff,28.0,2663.0,human melanoma,Hamamatsu XR,UMC Utrecht,Human,NMF,NMF,,NMF,7769.png
7852.png,,csv_image_not_present_in_images_dir,7852.png,548.tiff,7162.0,3475.0,human melanoma,Hamamatsu XR,UMC Utrecht,Human,NMF,NMF,,NMF,7852.png
7880.png,,csv_image_not_present_in_images_dir,7880.png,548.tiff,3037.0,5358.0,human melanoma,Hamamatsu XR,UMC Utrecht,Human,NMF,NMF,,NMF,7880.png
7897.png,,csv_image_not_present_in_images_dir,7897.png,548.tiff,7174.0,4947.0,human melanoma,Hamamatsu XR,UMC Utrecht,Human,NMF,NMF,,NMF,7897.png
7940.png,,csv_image_not_present_in_images_dir,7940.png,549.tiff,4693.0,5358.0,human melanoma,Hamamatsu XR,UMC Utrecht,Human,AMF,AMF,,AMF,7940.png
7941.png,,csv_image_not_present_in_images_dir,7941.png,549.tiff,5947.0,5378.0,human melanoma,Hamamatsu XR,UMC Utrecht,Human,NMF,NMF,,NMF,7941.png
7975.png,,csv_image_not_present_in_images_dir,7975.png,550.tiff,59.0,4968.0,human melanoma,Hamamatsu XR,UMC Utrecht,Human,AMF,AMF,,AMF,7975.png
7982.png,,csv_image_not_present_in_images_dir,7982.png,550.tiff,3131.0,13.0,human melanoma,Hamamatsu XR,UMC Utrecht,Human,NMF,NMF,,NMF,7982.png
8006.png,,csv_image_not_present_in_images_dir,8006.png,551.tiff,4627.0,5403.0,human melanoma,Hamamatsu XR,UMC Utrecht,Human,NMF,NMF,,NMF,8006.png
8009.png,,csv_image_not_present_in_images_dir,8009.png,552.tiff,1837.0,57.0,human melanoma,Hamamatsu XR,UMC Utrecht,Human,NMF,AMF,NMF,NMF,8009.png
8042.png,,csv_image_not_present_in_images_dir,8042.png,552.tiff,7208.0,1996.0,human melanoma,Hamamatsu XR,UMC Utrecht,Human,NMF,NMF,,NMF,8042.png
8054.png,,csv_image_not_present_in_images_dir,8054.png,552.tiff,7171.0,2734.0,human melanoma,Hamamatsu XR,UMC Utrecht,Human,NMF,NMF,,NMF,8054.png
8085.png,,csv_image_not_present_in_images_dir,8085.png,552.tiff,5112.0,5368.0,human melanoma,Hamamatsu XR,UMC Utrecht,Human,AMF,AMF,,AMF,8085.png
8086.png,,csv_image_not_present_in_images_dir,8086.png,552.tiff,7158.0,4861.0,human melanoma,Hamamatsu XR,UMC Utrecht,Human,AMF,AMF,,AMF,8086.png
8167.png,,csv_image_not_present_in_images_dir,8167.png,008.tiff,6291.0,5365.0,human breast cancer,Hamammatsu XR,UMC Utrecht,Human,NMF,NMF,AMF,NMF,8167.png
8184.png,,csv_image_not_present_in_images_dir,8184.png,010.tiff,2227.0,5376.0,human breast cancer,Hamammatsu XR,UMC Utrecht,Human,NMF,NMF,NMF,NMF,8184.png
8208.png,,csv_image_not_present_in_images_dir,8208.png,013.tiff,3656.0,5377.0,human breast cancer,Hamammatsu XR,UMC Utrecht,Human,NMF,NMF,NMF,NMF,8208.png
8209.png,,csv_image_not_present_in_images_dir,8209.png,013.tiff,3727.0,5362.0,human breast cancer,Hamammatsu XR,UMC Utrecht,Human,NMF,NMF,NMF,NMF,8209.png
8225.png,,csv_image_not_present_in_images_dir,8225.png,016.tiff,7157.0,2840.0,human breast cancer,Hamammatsu XR,UMC Utrecht,Human,NMF,NMF,NMF,NMF,8225.png
8270.png,,csv_image_not_present_in_images_dir,8270.png,024.tiff,2510.0,16.0,human breast cancer,Hamammatsu XR,UMC Utrecht,Human,NMF,NMF,NMF,NMF,8270.png
8272.png,,csv_image_not_present_in_images_dir,8272.png,024.tiff,550.0,47.0,human breast cancer,Hamammatsu XR,UMC Utrecht,Human,NMF,NMF,NMF,NMF,8272.png
8278.png,,csv_image_not_present_in_images_dir,8278.png,024.tiff,6739.0,38.0,human breast cancer,Hamammatsu XR,UMC Utrecht,Human,AMF,AMF,AMF,AMF,8278.png
8304.png,,csv_image_not_present_in_images_dir,8304.png,024.tiff,7197.0,4231.0,human breast cancer,Hamammatsu XR,UMC Utrecht,Human,NMF,NMF,NMF,NMF,8304.png
8318.png,,csv_image_not_present_in_images_dir,8318.png,027.tiff,1575.0,23.0,human breast cancer,Hamammatsu XR,UMC Utrecht,Human,NMF,NMF,NMF,NMF,8318.png
8323.png,,csv_image_not_present_in_images_dir,8323.png,027.tiff,7180.0,330.0,human breast cancer,Hamammatsu XR,UMC Utrecht,Human,NMF,NMF,NMF,NMF,8323.png
8366.png,,csv_image_not_present_in_images_dir,8366.png,032.tiff,4585.0,5373.0,human breast cancer,Hamammatsu XR,UMC Utrecht,Human,NMF,NMF,NMF,NMF,8366.png
8401.png,,csv_image_not_present_in_images_dir,8401.png,034.tiff,57.0,3416.0,human breast cancer,Hamammatsu XR,UMC Utrecht,Human,NMF,NMF,NMF,NMF,8401.png
8434.png,,csv_image_not_present_in_images_dir,8434.png,035.tiff,3085.0,5361.0,human breast cancer,Hamammatsu XR,UMC Utrecht,Human,NMF,NMF,NMF,NMF,8434.png
8453.png,,csv_image_not_present_in_images_dir,8453.png,039.tiff,3787.0,19.0,human breast cancer,Hamammatsu XR,UMC Utrecht,Human,AMF,NMF,AMF,AMF,8453.png
8458.png,,csv_image_not_present_in_images_dir,8458.png,039.tiff,6892.0,59.0,human breast cancer,Hamammatsu XR,UMC Utrecht,Human,AMF,NMF,AMF,AMF,8458.png
8515.png,,csv_image_not_present_in_images_dir,8515.png,043.tiff,58.0,2737.0,human breast cancer,Hamammatsu XR,UMC Utrecht,Human,AMF,NMF,AMF,AMF,8515.png
